City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto santa,-8.9906,-78.6456,18.23,94,90,6.54,PE,1700168743
83,cockburn town,21.4612,-71.1419,28.03,74,100,10.16,TC,1700168712
84,wailua homesteads,22.0669,-159.378,27.24,74,20,8.75,US,1700168689
85,lospalos,-8.5186,127.0025,22.09,83,11,0.36,TL,1700168743
86,fale old settlement,-9.3852,-171.2468,29.37,72,87,3.25,TK,1700168693
87,djibo,14.1022,-1.6306,30.27,28,0,4.57,BF,1700168744
88,namibe,-15.1961,12.1522,22.38,84,54,4.57,AO,1700168744
89,atafu village,-8.5421,-172.5159,29.37,74,62,3.27,TK,1700168524
90,borba,-4.3878,-59.5939,40.09,20,47,1.27,BR,1700168744
91,avarua,-21.2078,-159.775,24.03,64,75,7.2,CK,1700168701
92,ribeira grande,38.5167,-28.7,21.54,94,75,12.52,PT,1700168690
93,invercargill,-46.4,168.35,8.9,75,100,3.13,NZ,1700168583
94,yakeshi,49.2833,120.7333,-20.53,100,37,0.64,CN,1700168479
95,ilulissat,69.2167,-51.1,-7.99,73,75,1.03,GL,1700168695
96,klaksvik,62.2266,-6.589,4.51,60,93,6.63,FO,1700168745
97,maun,-19.9833,23.4167,22.98,78,0,2.06,BW,1700168745
98,malvan,16.0667,73.4667,27.31,62,81,5.5,IN,1700168745
99,tolanaro,-25.0319,46.9987,21.04,78,75,5.14,MG,1700168746
100,polyarnyy,69.1989,33.4478,-7.72,89,100,6.04,RU,1700168746
101,isafjordur,66.0755,-23.124,4.32,64,8,1.69,IS,1700168695
102,colonia,50.9333,6.95,8.31,87,0,1.03,DE,1700168746
103,hawaiian paradise park,19.5933,-154.9731,26.05,80,75,4.63,US,1700168687
104,ushuaia,-54.8,-68.3,9.79,59,75,5.81,AR,1700168746
105,cidreira,-30.1811,-50.2056,21.02,82,25,3.31,BR,1700168605
106,vilyuysk,63.7553,121.6247,-8.89,93,100,5.81,RU,1700168747
107,anshun,26.25,105.9333,5.2,73,98,0.98,CN,1700168747
108,bardai,11.65,7.2333,23.99,43,100,4.09,NG,1700168747
109,debark',13.1561,37.8981,12.29,70,98,1.52,ET,1700168747
110,awjilah,29.1081,21.2869,19.52,70,0,3.74,LY,1700168747
111,boda,4.3189,17.4695,21.41,93,100,2.74,CF,1700168748
112,port lincoln,-34.7333,135.8667,13.83,73,10,6.77,AU,1700168429
113,khovd,48.0056,91.6419,-8.13,77,4,1.22,MN,1700168748
114,borogontsy,62.6683,131.1683,-17.88,94,100,4.16,RU,1700168748
115,bredasdorp,-34.5322,20.0403,16.77,92,9,1.44,ZA,1700168680
116,afaahiti,-17.75,-149.2833,26.93,79,86,10.25,PF,1700168748
117,lebu,-37.6167,-73.65,11.48,95,100,7.72,CL,1700168710
